X_id,estId,estName,addrFull,srvType,insStatus,insDate,observation,infCategory,defDesc,infType,actionDesc,OutcomeDate,OutcomeDesc,fineAmount,geometry
1,10324402,IN BEAUTY SPA,"668 SILVER STAR BLVD, UNIT-219-220",Aesthetics,Pass,2020-02-19,No infractions were observed under the Bodysafe Premises Regulation during an inspection.,None,None,None,None,NA,None,NA,"{'type': 'MultiPoint', 'coordinates': [[-79.30111, 43.8231]]}"
2,10324402,IN BEAUTY SPA,"668 SILVER STAR BLVD, UNIT-219-220",Aesthetics,Conditional Pass,2020-02-04,One or more significant infractions were observed under the Bodysafe Premises Regulation during an inspection.,07 - Sterilization Requirements,Fail to keep sterilization records of personal service setting as required. Reg. Para. 1 of subsec. 14 (1),C - Crucial,Notice to Comply,NA,None,NA,"{'type': 'MultiPoint', 'coordinates': [[-79.30111, 43.8231]]}"
3,10324402,IN BEAUTY SPA,"668 SILVER STAR BLVD, UNIT-219-220",Aesthetics,Conditional Pass,2020-02-04,One or more significant infractions were observed under the Bodysafe Premises Regulation during an inspection.,04 - Reprocessing and Maintenance of Reusable Equipment/Instruments,Manufacturer's instructions not kept at personal service setting in location accessible to service provider. Reg. Subsec. 10 (3),C - Crucial,Verbal Order,NA,None,NA,"{'type': 'MultiPoint', 'coordinates': [[-79.30111, 43.8231]]}"
4,10324612,COZY NAILS SPA,3288 YONGE ST,Aesthetics,Pass,2020-02-20,No infractions were observed under the Bodysafe Premises Regulation during an inspection.,None,None,None,None,NA,None,NA,"{'type': 'MultiPoint', 'coordinates': [[-79.40389, 43.73048]]}"
5,10324612,COZY NAILS SPA,3288 YONGE ST,Nails,Pass,2020-02-20,No infractions were observed under the Bodysafe Premises Regulation during an inspection.,None,None,None,None,NA,None,NA,"{'type': 'MultiPoint', 'coordinates': [[-79.40389, 43.73048]]}"
6,10324626,BEAUTY EXPRESS,"2301 BRIMLEY RD, UNIT-140",Aesthetics,Pass,2023-10-27,No infractions were observed under the Bodysafe Premises Regulation during an inspection.,None,None,None,None,NA,None,NA,"{'type': 'MultiPoint', 'coordinates': [[-79.27118, 43.79796]]}"
7,10324815,PROFESSIONAL BEAUTY SERVICES,"3601 VICTORIA PARK AVE, UNIT-300",Aesthetics,Pass,2020-01-29,No infractions were observed under the Bodysafe Premises Regulation during an inspection.,None,None,None,None,NA,None,NA,"{'type': 'MultiPoint', 'coordinates': [[-79.33569, 43.80366]]}"
8,10324815,PROFESSIONAL BEAUTY SERVICES,"3601 VICTORIA PARK AVE, UNIT-300",Electrolysis   (N/A. Use the one under Aesthetics),Pass,2020-01-29,No infractions were observed under the Bodysafe Premises Regulation during an inspection.,None,None,None,None,NA,None,NA,"{'type': 'MultiPoint', 'coordinates': [[-79.33569, 43.80366]]}"
9,10324815,PROFESSIONAL BEAUTY SERVICES,"3601 VICTORIA PARK AVE, UNIT-300",Micropigmentation/Microblading,Pass,2020-01-29,No infractions were observed under the Bodysafe Premises Regulation during an inspection.,None,None,None,None,NA,None,NA,"{'type': 'MultiPoint', 'coordinates': [[-79.33569, 43.80366]]}"
10,10324815,PROFESSIONAL BEAUTY SERVICES,"3601 VICTORIA PARK AVE, UNIT-300",Nails,Pass,2020-01-29,No infractions were observed under the Bodysafe Premises Regulation during an inspection.,None,None,None,None,NA,None,NA,"{'type': 'MultiPoint', 'coordinates': [[-79.33569, 43.80366]]}"
11,10325388,ARTWORXX TATTOO PIERCING,12 DIXON RD,Body Piercing,Pass,2023-05-24,No infractions were observed under the Bodysafe Premises Regulation during an inspection.,None,None,None,None,NA,None,NA,"{'type': 'MultiPoint', 'coordinates': [[-79.52852, 43.70124]]}"
12,10325388,ARTWORXX TATTOO PIERCING,12 DIXON RD,Tattooing,Pass,2023-05-24,No infractions were observed under the Bodysafe Premises Regulation during an inspection.,None,None,None,None,NA,None,NA,"{'type': 'MultiPoint', 'coordinates': [[-79.52852, 43.70124]]}"
13,10326028,THE SPA INTERCONTINENTAL TORONTO CENTRE,"225 FRONT ST W, FLR-3RD",Aesthetics,Pass,2023-11-06,No infractions were observed under the Bodysafe Premises Regulation during an inspection.,None,None,None,None,NA,None,NA,"{'type': 'MultiPoint', 'coordinates': [[-79.38516, 43.64472]]}"
14,10326028,THE SPA INTERCONTINENTAL TORONTO CENTRE,"225 FRONT ST W, FLR-3RD",Nails,Pass,2023-11-06,No infractions were observed under the Bodysafe Premises Regulation during an inspection.,None,None,None,None,NA,None,NA,"{'type': 'MultiPoint', 'coordinates': [[-79.38516, 43.64472]]}"
15,10332284,CARYL BAKER VISAGE,"130 KING ST W, UNIT 16-17 POBOX-380",Aesthetics,Pass,2023-09-27,No infractions were observed under the Bodysafe Premises Regulation during an inspection.,None,None,None,None,NA,None,NA,"{'type': 'MultiPoint', 'coordinates': [[-79.38345, 43.64805]]}"
16,10332284,CARYL BAKER VISAGE,"130 KING ST W, UNIT 16-17 POBOX-380",Ear Piercing,Pass,2023-09-27,No infractions were observed under the Bodysafe Premises Regulation during an inspection.,None,None,None,None,NA,None,NA,"{'type': 'MultiPoint', 'coordinates': [[-79.38345, 43.64805]]}"
17,10332284,CARYL BAKER VISAGE,"130 KING ST W, UNIT 16-17 POBOX-380",Micropigmentation/Microblading,Pass,2023-09-27,No infractions were observed under the Bodysafe Premises Regulation during an inspection.,None,None,None,None,NA,None,NA,"{'type': 'MultiPoint', 'coordinates': [[-79.38345, 43.64805]]}"
18,10334504,Y & L HAIR DESIGN,"2351 KENNEDY RD, UNIT-103A",Barbering & Hairdressing,Pass,2023-05-05,No infractions were observed under the Bodysafe Premises Regulation during an inspection.,None,None,None,None,NA,None,NA,"{'type': 'MultiPoint', 'coordinates': [[-79.28856, 43.7844]]}"
19,10336028,JONATHAN TORCH CURLY HAIR INSTITUTE,85 SHEPPARD AVE W,Barbering & Hairdressing,Pass,2020-02-20,No infractions were observed under the Bodysafe Premises Regulation during an inspection.,None,None,None,None,NA,None,NA,"{'type': 'MultiPoint', 'coordinates': [[-79.41519, 43.76038]]}"
20,10336538,NEW WAVE HAIR SALON,1752 LAWRENCE AVE E,Barbering & Hairdressing,Pass,2020-02-11,No infractions were observed under the Bodysafe Premises Regulation during an inspection.,None,None,None,None,NA,None,NA,"{'type': 'MultiPoint', 'coordinates': [[-79.30798, 43.74282]]}"
21,10459024,SEKAI NAIL & BEAUTY BAR,968 QUEEN ST W,Aesthetics,Pass,2023-11-01,No infractions were observed under the Bodysafe Premises Regulation during an inspection.,None,None,None,None,NA,None,NA,"{'type': 'MultiPoint', 'coordinates': [[-79.41737, 43.64463]]}"
22,10459024,SEKAI NAIL & BEAUTY BAR,968 QUEEN ST W,Aesthetics,Pass,2020-02-11,No infractions were observed under the Bodysafe Premises Regulation during an inspection.,None,None,None,None,NA,None,NA,"{'type': 'MultiPoint', 'coordinates': [[-79.41737, 43.64463]]}"
